concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,236.77,89,1,1,1
1,209.10,90,1,1,1
2,224.30,90,2048,2,1.2750000000000004
2,199.40,89,2048,2,1.2750000000000004
4,247.39,90,47775744,10,4.074999999999999
4,237.91,90,47775744,10,4.074999999999999
5,265.74,91,20155392,26,4.750000000000002
5,250.86,91,20155392,26,4.750000000000002
8,323.85,93,14332723200,94,12.650000000000002
8,264.28,92,14332723200,94,12.650000000000002
10,388.77,93,1119744000,302,25.825000000000003
10,390.66,94,1119744000,302,25.825000000000003
20,412.92,96,10749542400000,208,31.650000000000006
20,217.51,100,10749542400000,208,31.650000000000006
20,503.20,96,10749542400000,208,31.650000000000006
40,283.32,91,71663616,20,5.300000000000002
40,250.98,92,71663616,20,5.300000000000002
