concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,149.8888,77.22,1,1,1
2,133.12205128205136,76.64102564102564,187840,2.5128205128205128,1.5492382411563999
3,132.29103448275865,76,949438456,8.551724137931034,3.7822320157834723
4,142.0622222222222,78.11111111111111,388810158762,21.416666666666668,7.143606341803026
5,147.77323529411763,77.11764705882354,61779357269724,40.911764705882355,10.424018200581669
6,205.13838709677415,68.74193548387096,3448459696934448088,105.96774193548387,21.11444866307921
10,2476.8444444444444,96.14814814814815,38928073323075483728609280,1433.1851851851852,144.64320987654327
12,34123.49,118.92307692307692,33198237244263500761615157996,4840.076923076923,439.39610125402316
15,12114.083437500001,132.03125,139834585978516575305625600,2904.40625,335.1590171236769
20,111488.23863636363,174.13636363636363,937209917493597907940106240000,7597,807.3794871794872
30,222896.88933333333,198.66666666666666,886413208693726579144274214912,11974.666666666666,1078.7520833333333
60,22220.413846153842,117.23076923076923,194567884806156569581494222595938,2944,365.97948717948697
